fundname,fundid,fundtype,fundcompany,fundsize,todayestnav,yestnav,accumnav,todayrate,weekrate,monthrate,threemonthrate,sixmonthrate,fromthisyearrate,yearrate,twoyearrate,threeyearrate,industry1,industry1ratio,industry2,industry2ratio,category,date
天治可转债C,000081,债券型,天治基金,1.00亿,1.1224,1.1220,1.1220,0.03,0.27,0.81,3.31,0.27,4.28,2.37,-11.16,-17.74,交通运输、仓储和邮政业,3.88%,,,净值型,2018-03-16
工银信用纯债两年定开债C,000079,定开债券,工银瑞信基金,0.46亿,1.1823,1.1820,1.1820,0.03,0.17,0.60,1.20,0.08,1.29,-0.08,0.77,6.39,,,,,净值型,2018-03-16
嘉实研究精选混合A,070013,混合型,嘉实基金,46.78亿,2.2574,2.2720,3.7020,-0.64,-0.09,1.70,-2.14,7.22,-4.44,19.40,33.77,31.71,制造业,65.87%,金融业,11.55%,净值型,2018-03-16
工银农业产业股票,001195,股票型,工银瑞信基金,8.68亿,0.6283,0.6320,0.6320,-0.58,1.77,3.44,0.64,2.76,-1.25,8.59,17.47,0,制造业,73.01%,金融业,7.95%,净值型,2018-03-16
广发百发大数据成长混合A,001734,混合型,广发基金,2.07亿,1.0048,1.0090,1.0090,-0.42,1.41,8.85,2.85,4.24,1.61,1.51,14.14,0,制造业,46.98%,信息传输、软件和信息技术服务业,12.05%,净值型,2018-03-16
华泰柏瑞行业领先混合,460007,混合型,华泰柏瑞基金,2.27亿,1.5921,1.6050,1.6050,-0.80,1.97,6.72,0.69,12.32,-0.25,24.52,40.42,15.72,制造业,79.03%,信息传输、软件和信息技术服务业,7.78%,净值型,2018-03-16
中银品质生活混合,003769,混合型,中银基金,0.59亿,1.1503,1.1685,1.1685,-1.56,2.88,7.66,4.55,10.47,3.52,16.84,0,0,制造业,63.04%,租赁和商务服务业,9.62%,净值型,2018-03-16
东方策略成长混合,400007,混合型,东方基金,4.73亿,2.7684,2.7911,2.7911,-0.81,1.95,2.34,-1.88,1.14,-1.86,9.86,31.25,15.13,制造业,50.93%,金融业,19.67%,净值型,2018-03-16
华夏军工安全混合,002251,混合型,华夏基金,1.92亿,0.9031,0.9080,0.9080,-0.54,-0.55,11.82,-6.58,-11.33,-3.92,-17.98,0,0,制造业,86.80%,建筑业,3.39%,净值型,2018-03-16
华安中证细分医药ETF,512120,ETF-场内,华安基金,0.79亿,1.6345,1.6380,1.6380,-0.21,0.37,7.83,3.87,12.89,2.44,19.21,38.93,34.93,制造业,86.50%,批发和零售业,11.27%,净值型,2018-03-16
国富中证100指数增强分级,164508,股票指数,国海富兰克林基金,0.87亿,1.0563,1.0660,1.1390,-0.91,0.28,2.01,4.84,13.92,3.16,32.45,52.75,0,金融业,43.33%,制造业,30.57%,净值型,2018-03-16
广发消费品精选混合,270041,混合型,广发基金,5.76亿,2.7788,2.8010,2.8010,-0.79,1.16,3.28,4.32,15.55,2.53,28.55,59.97,71.42,制造业,62.15%,金融业,8.38%,净值型,2018-03-16
国富策略回报混合,450010,混合型,国海富兰克林基金,0.53亿,1.3520,1.3630,1.3630,-0.81,1.41,4.52,2.33,-0.51,1.34,6.57,17.91,6.07,制造业,41.62%,金融业,16.36%,净值型,2018-03-16
国富中证100指数增强分级B,150136,分级杠杆,国海富兰克林基金,0.87亿,1.1026,1.1220,1.1220,-1.73,0.45,3.51,8.51,27.36,5.25,75.86,141.81,0,金融业,43.33%,制造业,30.57%,净值型,2018-03-16
东方红睿满沪港深混合,169104,混合型,上海东方证券资产管理,18.22亿,1.3975,1.4100,1.6900,-0.89,1.51,5.86,8.82,21.01,4.52,46.21,0,0,制造业,59.68%,租赁和商务服务业,4.01%,净值型,2018-03-16
广发中证全指医药卫生ETF,159938,ETF-场内,广发基金,10.31亿,1.3973,1.3992,1.3992,-0.14,-0.20,8.55,2.63,6.86,2.00,6.87,24.03,18.62,制造业,83.51%,批发和零售业,9.01%,净值型,2018-03-16
嘉实中证医药卫生ETF,512610,ETF-场内,嘉实基金,0.22亿,1.6223,1.6244,1.6244,-0.13,0.15,8.35,4.36,11.25,2.99,13.08,29.68,22.32,制造业,84.50%,批发和零售业,9.18%,净值型,2018-03-16
易方达中小盘混合,110011,混合型,易方达基金,45.82亿,3.9658,3.9964,4.3864,-0.76,0.82,5.01,7.21,19.46,3.79,36.56,86.55,97.49,制造业,64.96%,交通运输、仓储和邮政业,12.57%,净值型,2018-03-16
泰达中证500进取,150054,分级杠杆,泰达宏利基金,2.97亿,1.0346,1.0429,2.7315,-0.80,0.70,11.04,1.29,-4.11,-1.63,4.96,49.05,36.02,制造业,56.73%,批发和零售业,8.78%,净值型,2018-03-16
工银丰益一年定开债券,003789,定开债券,工银瑞信基金,0.10亿,1.0102,1.0100,1.0349,0.02,0.07,0.19,1.04,1.74,0.57,3.12,0,0,,,,,净值型,2018-03-16
信诚精萃成长混合,550002,混合型,中信保诚基金,26.88亿,0.7956,0.8021,3.1482,-0.81,1.22,6.29,7.53,10.99,5.99,30.38,45.21,47.20,制造业,60.10%,房地产业,9.51%,净值型,2018-03-16
信诚中小盘混合,550009,混合型,中信保诚基金,0.52亿,1.6568,1.6690,1.7990,-0.73,2.58,8.52,7.47,6.65,6.17,13.08,16.63,8.38,制造业,62.57%,采矿业,4.87%,净值型,2018-03-16
万家玖盛9个月定开债C,004465,定开债券,万家基金,0.00亿,1.0043,1.0041,1.0290,0.02,0.07,0.29,1.14,1.88,1.01,0,0,0,,,,,净值型,2018-03-16
易方达行业领先混合,110015,混合型,易方达基金,10.26亿,2.3531,2.3690,2.6850,-0.67,0.81,3.99,3.27,14.16,2.41,34.75,67.54,55.50,制造业,63.88%,金融业,11.57%,净值型,2018-03-16
信诚沪深300分级B,150052,分级杠杆,中信保诚基金,2.71亿,0.8633,0.8780,1.5110,-1.67,0.34,5.40,0.33,5.55,-1.44,28.39,67.21,-39.05,制造业,38.08%,金融业,31.30%,净值型,2018-03-16
南方房地产ETF联接A,004642,联接基金,南方基金,0.11亿,1.0245,1.0209,1.0209,0.35,-2.25,1.19,4.32,2.08,0.85,0,0,0,,,,,净值型,2018-03-16
财通资管鑫达混合C,005308,混合型,财通资管,2.87亿,--,1.0099,1.0099,0,0.13,0.66,0,0,0,0,0,0,,,,,净值型,2018-03-16
申万菱信申万证券分级,163113,股票指数,申万菱信基金,47.67亿,0.8915,0.9004,1.6487,-0.98,0.26,2.81,-6.21,-17.57,-3.72,-14.12,-7.79,-43.43,金融业,92.76%,制造业,0.01%,净值型,2018-03-16
银河沪深300成长分级,161507,股票指数,银河基金,0.16亿,1.3005,1.3120,1.4510,-0.88,0.15,2.74,2.78,6.97,1.91,17.91,31.71,18.93,制造业,39.35%,金融业,37.85%,净值型,2018-03-16
南方创业板ETF,159948,ETF-场内,南方基金,3.36亿,1.8937,1.9150,0.9410,-1.11,3.06,12.27,2.25,-2.61,4.03,-4.94,0,0,制造业,49.01%,信息传输、软件和信息技术服务业,23.92%,净值型,2018-03-16
德邦量化优选股票(LOF)A,167702,股票型,德邦基金,0.24亿,1.2238,1.2332,1.2332,-0.76,0.52,4.70,7.21,8.31,4.96,0,0,0,制造业,50.88%,金融业,23.55%,净值型,2018-03-16
申万菱信盛利精选混合,310308,混合型,申万菱信基金,7.55亿,0.9889,0.9960,3.0699,-0.72,1.53,3.32,2.53,9.80,0.54,21.67,35.31,22.19,制造业,60.41%,租赁和商务服务业,4.74%,净值型,2018-03-16
金鹰元盛债券型发起式C,162108,债券型,金鹰基金,0.52亿,1.0953,1.0950,1.1570,0.03,0.09,0.37,0.55,-1.53,1.30,1.39,0.55,10.34,制造业,1.21%,,,净值型,2018-03-16
宝盈中证100增强,213010,股票指数,宝盈基金,2.20亿,1.4737,1.4880,1.4880,-0.96,0.20,1.85,4.64,12.64,2.98,31.33,53.56,35.89,金融业,43.69%,制造业,31.76%,净值型,2018-03-16
银华价值优选混合,519001,混合型,银华基金,53.25亿,2.3759,2.3967,7.9676,-0.87,1.26,4.52,2.01,13.37,0.84,20.21,28.90,22.66,制造业,60.01%,金融业,14.67%,净值型,2018-03-16
金鹰红利价值,210002,混合型,金鹰基金,3.97亿,1.2931,1.3034,2.5014,-0.79,0.22,-1.36,3.45,-1.58,0.49,1.88,13.12,53.36,制造业,45.08%,交通运输、仓储和邮政业,26.25%,净值型,2018-03-16
汇添富增强收益债券A,519078,债券型,汇添富基金,1.58亿,1.1823,1.1820,1.5570,0.02,0.17,0.08,0.96,0.48,0.64,1.78,2.87,12.19,制造业 - 纺织、服装、皮毛,"1,185.97",,,净值型,2018-03-16
汇添富价值精选混合,519069,混合型,汇添富基金,52.47亿,2.5563,2.5730,4.0010,-0.65,1.22,4.76,6.99,16.52,5.80,28.43,55.44,77.03,制造业,45.72%,金融业,19.98%,净值型,2018-03-16
银河美丽混合A,519664,混合型,银河基金,6.51亿,2.2736,2.3000,2.3000,-1.15,-0.17,1.28,3.05,18.86,0.26,44.20,58.73,55.20,制造业,72.18%,金融业,11.03%,净值型,2018-03-16
新华优选分红混合,519087,混合型,新华基金,11.27亿,0.8202,0.8238,3.5222,-0.43,-0.06,1.74,6.56,13.17,3.19,10.30,15.39,-3.93,制造业,54.57%,房地产业,18.45%,净值型,2018-03-16
东吴新经济混合,580006,混合型,东吴基金,0.28亿,0.9485,0.9530,1.3430,-0.47,1.28,8.30,2.03,-4.12,2.69,0.32,1.98,-2.61,制造业,46.33%,批发和零售业,5.34%,净值型,2018-03-16
东吴优信稳健债券A,582001,债券型,东吴基金,0.55亿,1.1759,1.1772,1.1892,-0.11,0.70,3.03,3.27,3.14,3.51,5.90,6.73,3.63,制造业,7.58%,文化、体育和娱乐业,5.70%,净值型,2018-03-16
东吴多策略灵活配置混合,580009,混合型,东吴基金,2.17亿,1.0116,1.0184,1.7814,-0.67,0.89,4.84,2.59,8.36,1.24,21.85,20.82,18.78,制造业,30.95%,金融业,6.90%,净值型,2018-03-16
安信目标收益债券C,750003,债券型,安信基金,1.65亿,1.1493,1.1490,1.3140,0.02,0.00,0.26,1.14,0.97,1.14,3.42,4.17,11.65,,,,,净值型,2018-03-16
安信平稳增长混合发起A,750005,混合型,安信基金,1.34亿,1.1742,1.1753,1.6553,-0.09,0.09,0.68,1.49,2.76,1.18,6.11,15.06,28.02,制造业,6.56%,金融业,1.55%,净值型,2018-03-16
德邦优化混合,770001,混合型,德邦基金,0.65亿,1.0258,1.0308,1.8308,-0.49,0.32,0.87,4.63,12.62,2.73,16.63,17.43,0.84,制造业,56.47%,房地产业,3.36%,净值型,2018-03-16
国金国鑫发起,762001,混合型,国金基金,3.78亿,2.0011,2.0126,2.6426,-0.57,1.01,4.29,-2.97,1.07,-3.28,4.25,21.64,79.96,制造业,47.91%,金融业,7.64%,净值型,2018-03-16
安信目标收益债券A,750002,债券型,安信基金,0.49亿,1.1793,1.1790,1.3440,0.02,0.00,0.34,1.29,1.20,1.29,3.97,5.17,13.24,,,,,净值型,2018-03-16
安信灵活配置混合,750001,混合型,安信基金,0.96亿,1.1233,1.1300,1.7200,-0.59,0.89,1.80,1.25,-0.96,1.16,6.70,13.55,4.14,制造业,58.75%,金融业,7.01%,净值型,2018-03-16
长安宏观策略混合,740001,混合型,长安基金,0.81亿,1.3558,1.3630,2.1830,-0.53,0.44,2.17,-2.43,1.64,-2.99,0.37,22.79,13.35,制造业,54.71%,建筑业,7.20%,净值型,2018-03-16
安信新常态股票,001583,股票型,安信基金,4.83亿,1.3950,1.4050,1.4050,-0.71,-0.28,4.15,6.52,11.16,4.15,36.01,56.81,0,制造业,41.41%,金融业,13.12%,净值型,2018-03-16
